"[""请翻译字体名，字体尺寸，字体式样和翻译文字。如果这些域为空，他们将不能翻译。""]",,,,,,,,
[分类,对象名,字体名,字体尺寸,字体式样,原文字,翻译文字,原文字,翻译文字]
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow5.txtR5C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow5.txtR5C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow5.txtR5C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow6.txtVBAScriptControlledLabel6,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow6.txtVBAScriptControlledLabel6,Arial,14,0,Function 6,功能 6,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow6.txtR6C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow6.txtR6C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow6.txtR6C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow7.txtVBAScriptControlledLabel7,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow7.txtVBAScriptControlledLabel7,Arial,14,0,Function 7,功能 7,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow7.txtR7C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow7.txtR7C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow7.txtR7C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow8.txtVBAScriptControlledLabel8,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow8.txtVBAScriptControlledLabel8,Arial,14,0,Function 8,功能 8,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow8.txtR8C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow8.txtR8C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow8.txtR8C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow9.txtVBAScriptControlledLabel9,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow9.txtVBAScriptControlledLabel9,Arial,14,0,Function 9,功能 9,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow9.txtR9C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow9.txtR9C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow9.txtR9C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow10.txtVBAScriptControlledLabel10,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow10.txtVBAScriptControlledLabel10,Arial,14,0,Function 10,功能 10,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow10.txtR10C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow10.txtR10C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow10.txtR10C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow11.txtVBAScriptControlledLabel11,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow11.txtVBAScriptControlledLabel11,Arial,14,0,Function 11,功能 11,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow11.txtR11C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow11.txtR11C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow11.txtR11C3,Arial,14,0,100,100,,
Description,OEM_800_600_MachineSetup.grpRowData.grpRow12.txtVBAScriptControlledLabel12,,,,VBA script controls and updates this object's content.,VBA脚本控制和更新此对象内容。,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow12.txtVBAScriptControlledLabel12,Arial,14,0,Function 12,功能 12,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow12.txtR12C1,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow12.txtR12C2,Arial,14,0,0,0,,
Caption,OEM_800_600_MachineSetup.grpRowData.grpRow12.txtR12C3,Arial,14,0,100,100,,
